CrimeDate,CrimeCode,CrimeTime,Location,Description,Weapon,Post,District,Neighborhood,Latitude,Longitude
2/10/14,4D,23:00:00,1100 Ward St,Agg. Assault,Hands,932,Southern,Washington Village/Pigtown,39.28186,-76.63271
2/9/14,4B,1:35:00,400 E Baltimore St,Agg. Assault,Knife,111,Central,Downtown,39.28978,-76.60965
2/9/14,4B,1:35:00,400 E Baltimore St,Agg. Assault,Knife,111,Central,Downtown,39.28978,-76.60965
2/9/14,1K,138,400 E Baltimore St,Homicide,Knife,111,Central,Downtown,39.28978,-76.60965
2/9/14,3AF,2:40:00,5600 O Donnell Cut St,Robbery - Street,Firearm,233,Southeastern,Medford,39.27877,-76.5474
2/9/14,4B,3:16:00,700 N Grantley St,Agg. Assault,Knife,844,Southwestern,Edgewood,39.29691,-76.67575
2/9/14,4A,5:46:00,100 S Broadway,Agg. Assault,Firearm,212,Southeastern,Washington Hill,39.2901,-76.59373
2/9/14,4B,13:49:00,4200 Sheldon Av,Agg. Assault,Knife,442,Northeastern,Belair-Edison,39.32844,-76.56449
2/9/14,3AF,14:30:00,3000 Arunah Ave,Robbery - Street,Firearm,814,Southwestern,Franklintown Road,39.29514,-76.66694
2/9/14,3AJF,18:25:00,4500 St Thomas Av,Robbery - Carjacking,Firearm,443,Northeastern,Frankford,39.32875,-76.55617
2/9/14,3AJF,18:30:00,3400 Cardenas Av,Robbery - Carjacking,Firearm,432,Northeastern,Belair-Edison,39.32444,-76.57367
2/9/14,4B,19:01:00,400 Cummings Ct,Agg. Assault,Knife,123,Central,Upton,39.30054,-76.6259
2/9/14,3AF,19:55:00,1200 Glyndon Av,Robbery - Street,Firearm,932,Southern,Washington Village/Pigtown,39.28217,-76.63637
2/9/14,4C,20:30:00,1000 Sarah Ann St,Agg. Assault,Other,712,Western,Poppleton,39.29286,-76.63455
2/9/14,4C,21:10:00,0 S Calhoun St,Agg. Assault,Other,933,Southern,Union Square,39.28736,-76.63946
2/9/14,4C,22:20:00,4200 Park Heights Av,Agg. Assault,Other,614,Northwestern,Central Park Heights,39.3369,-76.66425
2/9/14,4B,22:30:00,2500 Marbourne Av,Agg. Assault,Knife,923,Southern,Lakeland,39.25385,-76.64911
2/9/14,4B,23:41:00,6600 Gary Av,Agg. Assault,Knife,243,Southeastern,Graceland Park,39.27999,-76.53569
2/8/14,3B,23:25:00,2400 Shirley Av,Robbery - Street,,533,Northern,Greenspring,39.33561,-76.65999
2/8/14,4B,22:32:00,1400 Lochner Rd,Agg. Assault,Knife,414,Northeastern,Woodbourne Heights,39.35846,-76.59056
2/8/14,3CF,22:36:00,400 Orleans St,Robbery - Commercial,Firearm,312,Eastern,Penn-Fallsway,39.29463,-76.61038
2/8/14,4C,23:23:00,1600 Mountmor Ct,Agg. Assault,Other,742,Western,Sandtown-Winchester,39.30691,-76.64457
2/8/14,4C,0:10:00,4700 Eugene Av,Agg. Assault,Other,426,Northeastern,Moravia-Walther,39.33779,-76.56178
2/8/14,4A,2:00:00,4500 Erdman Ave,Agg. Assault,Firearm,433,Northeastern,Orchard Ridge,39.30973,-76.56312
