CrimeDate,CrimeTime,CrimeCode,Location,Description,Weapon,Post,District,Neighborhood,Latitude,Longitude
1/22/16,14:38:00,7A,2700 E CHASE ST,AUTO THEFT,,323,EASTERN,Biddle Street,39.30384,-76.57956
1/22/16,14:45:00,5D,1100 N CAROLINE ST,BURGLARY,,313,EASTERN,Gay Street,39.30347,-76.59789
1/22/16,15:00:00,6E,,LARCENY,,,,,,
1/22/16,15:00:00,7A,AV & CHERRY HILL RD,AUTO THEFT,,922,SOUTHERN,Cherry Hill,39.25769,-76.63279
1/22/16,15:00:00,5A,,BURGLARY,,,,,,
1/22/16,15:20:00,3AF,3800 MOUNT PLEASANT AVE,ROBBERY - STREET,FIREARM,223,SOUTHEASTERN,Baltimore Highlands,39.29093,-76.56548
1/22/16,15:23:00,7A,800 N BROADWAY,AUTO THEFT,,313,EASTERN,Gay Street,39.29951,-76.5945
1/22/16,15:30:00,5C,300 PARKIN ST,BURGLARY,,932,SOUTHERN,Washington Village/Pigtown,39.28422,-76.63054
1/22/16,15:40:00,6J,600 E PRATT ST,LARCENY,,112,CENTRAL,Inner Harbor,39.28676,-76.60781
1/22/16,15:45:00,4E,5500 Bowleys Ln,COMMON ASSAULT,HANDS,443,NORTHEASTERN,Frankford,39.3189,-76.55159
1/22/16,16:00:00,7A,600 S CHARLES ST,AUTO THEFT,,941,SOUTHERN,Otterbein,39.28169,-76.61474
1/22/16,16:00:00,5A,5100 NELSON AVE,BURGLARY,,613,NORTHWESTERN,Langston Hughes,39.34422,-76.68114
1/22/16,16:00:00,5A,400 N EDGEWOOD ST,BURGLARY,,843,SOUTHWESTERN,Lower Edmondson Village,39.29206,-76.6754
1/22/16,16:10:00,6C,6300 EASTERN AVE,LARCENY,,242,SOUTHEASTERN,Pulaski Industrial Area,39.28761,-76.53982
1/22/16,16:15:00,6D,600 N CALHOUN ST,LARCENY FROM AUTO,,713,WESTERN,Harlem Park,39.29605,-76.63993
1/22/16,16:25:00,6A,BALTIMORE ST & N ARCH ST,LARCENY,,121,CENTRAL,University Of Maryland,39.28914,-76.62514
1/22/16,16:30:00,5E,3500 DOLFIELD AVE,BURGLARY,,643,NORTHWESTERN,Ashburton,39.33505,-76.67458
1/22/16,16:30:00,6E,3000 PIEDMONT AVE,LARCENY,,641,NORTHWESTERN,Hanlon-Longwood,39.31692,-76.66904
1/22/16,16:59:00,4B,4300 REISTERSTOWN RD,AGG. ASSAULT,KNIFE,613,NORTHWESTERN,Towanda-Grantley,39.3386,-76.66774
1/22/16,17:00:00,7A,3400 WOODBROOK AVE,AUTO THEFT,,732,WESTERN,Parkview/Woodbrook,39.31774,-76.6503
1/22/16,17:00:00,6D,2800 GWYNNS FALLS PKWY,LARCENY FROM AUTO,,731,NORTHWESTERN,Panway/Braddish Avenue,39.31448,-76.66475
1/22/16,17:00:00,6D,3700 GREENMOUNT AVE,LARCENY FROM AUTO,,542,NORTHERN,Guilford,39.33438,-76.60952
1/22/16,17:30:00,3AF,1400 EUTAW PL,ROBBERY - STREET,FIREARM,132,CENTRAL,Bolton Hill,39.30526,-76.62745
1/22/16,17:39:00,6C,300 N CHARLES ST,LARCENY,,111,CENTRAL,Downtown,39.29248,-76.61538
1/22/16,17:45:00,4F,4300 PARK HEIGHTS AVE,ASSAULT BY THREAT,,614,NORTHWESTERN,Central Park Heights,39.33924,-76.66619
1/22/16,17:50:00,3AF,22ND ST & ST PAUL ST,ROBBERY - STREET,FIREARM,514,NORTHERN,Barclay,39.31429,-76.61515
1/22/16,18:00:00,5A,3700 TOWANDA AVE,BURGLARY,,612,NORTHWESTERN,Park Circle,39.33016,-76.66266
1/22/16,18:00:00,6E,2800 EDGECOMBE CIR N,LARCENY,,532,NORTHERN,Parklane,39.34335,-76.66342
1/22/16,18:00:00,7A,500 W NORTH AVE,AUTO THEFT,,133,CENTRAL,Reservoir Hill,39.31088,-76.6253
1/22/16,18:30:00,6D,1900 WHEELER AVE,LARCENY FROM AUTO,,731,WESTERN,Mondawmin,39.30993,-76.65571
1/22/16,19:00:00,7A,2300 MOSHER ST,AUTO THEFT,,723,WESTERN,Bridgeview/Greenlawn,39.29961,-76.65412
1/22/16,20:00:00,7A,2100 MCCULLOH ST,AUTO THEFT,,131,CENTRAL,Druid Heights,39.30894,-76.63575
1/22/16,20:00:00,5A,1200 WALKER AVE,BURGLARY,,414,NORTHEASTERN,Idlewood,39.37106,-76.59154
1/22/16,20:30:00,3JF,500 SAINT PAUL ST,ROBBERY - RESIDENCE,FIREARM,142,CENTRAL,Mount Vernon,39.29595,-76.61377
1/22/16,20:30:00,3JF,500 SAINT PAUL ST,ROBBERY - RESIDENCE,FIREARM,142,CENTRAL,Mount Vernon,39.29595,-76.61377
1/22/16,21:00:00,6D,2800 HAMILTON AVE,LARCENY FROM AUTO,,423,NORTHEASTERN,Hamilton Hills,39.35411,-76.56352
1/22/16,21:50:00,7A,800 W FAYETTE ST,AUTO THEFT,,712,WESTERN,Poppleton,39.29008,-76.62956
1/22/16,23:40:00,4E,2000 W PRATT ST,COMMON ASSAULT,HANDS,934,SOUTHERN,Carrollton Ridge,39.28506,-76.6486
1/21/16,8:45:00,3AK,5000 TRUESDALE AVE,ROBBERY - STREET,KNIFE,443,NORTHEASTERN,Frankford,39.31859,-76.54609
1/21/16,9:00:00,5A,4500 FRANKFORD AVE,BURGLARY,,443,NORTHEASTERN,Frankford,39.33512,-76.5485
1/21/16,9:05:00,7A,100 COLVIN ST,AUTO THEFT,,211,SOUTHEASTERN,Jonestown,39.29172,-76.60311
1/21/16,9:20:00,4E,4700 SAYER AVE,COMMON ASSAULT,HANDS,822,SOUTHWESTERN,Tremont,39.28426,-76.69406
1/21/16,10:00:00,6C,2000 HARFORD RD,LARCENY,,342,EASTERN,East Baltimore Midway,39.31351,-76.59872
